17,17,20,16,24,24,19,26,23,21,25,18,17,22,27,28,24,27,24,21,29,30,24,23,22,20,19,21,23,16,19,24,23,25,24,25,18,21,22,19,32,30,22,24,19,21,21,23,22,17,23,24,23,21,21,28,29,27,27,26,28,34,26,23
26,21,22,26,23,26,27,26,25,19,27,32,24,24,29,23,24,25,24,26,24,29,33,28,32,35,30,31,28,23,26,24,24,28,28,28,28,31,34,34,34,29,27,30,29,26,27,29,28,34,31,30,36,34,31,34,37,31,33,39,30,31,36,34
35,32,34,37,38,33,33,37,33,33,31,34,34,33,34,37,39,35,35,35,30,33,39,28,26,40,32,27,35,33,30,30,31,32,33,33,38,35,32,34,31,32,38,37,33,35,33,30,32,33,31,29,31,33,28,28,36,35,29,29,30,30,32,28
33,36,28,31,34,30,33,33,31,34,32,31,32,31,32,28,25,30,29,27,26,22,23,28,27,22,24,32,30,24,27,27,28,25,20,23,22,27,25,22,30,24,20,20,20,22,21,26,26,24,26,29,24,21,29,27,25,32,31,21,25,30,27,32
25,24,27,20,22,22,26,22,25,27,19,31,26,22,26,28,32,26,26,27,28,30,26,25,26,23,25,25,23,23,25,19,19,30,24,18,24,25,27,29,28,26,25,23,20,17,21,20,17,19,19,21,20,16,17,17,13,17,15,18,22,18,17,17
20,19,17,20,25,24,20,19,21,22,18,16,14,16,13,5,13,18,15,18,17,19,25,25,19,16,21,21,24,25,21,24,22,22,25,20,27,28,19,21,24,18,19,19,18,21,25,24,20,23,25,24,28,31,28,32,35,27,26,26,27,29,24,32
36,30,31,32,29,27,28,31,30,27,26,26,29,27,29,29,29,34,34,33,34,35,29,27,31,32,26,26,28,32,33,28,28,36,30,31,33,26,32,35,36,36,34,35,36,37,31,26,34,37,40,38,32,36,30,28,31,30,35,34,32,35,34,35
36,38,37,39,38,29,33,35,30,29,28,27,30,34,29,27,32,30,29,34,30,27,27,29,29,28,30,27,29,34,30,26,29,28,25,26,30,25,23,31,28,25,25,22,25,27,30,29,25,26,22,26,25,21,26,24,22,21,24,25,25,30,29,27
21,24,22,20,26,24,23,25,25,17,20,22,20,18,18,21,18,21,23,28,24,19,22,24,22,21,24,23,17,19,26,26,22,22,20,18,22,25,19,21,26,21,22,24,18,14,11,17,18,15,23,21,17,21,22,20,22,16,15,21,18,16,15,21
17,15,18,12,16,19,19,16,15,20,16,11,16,12,14,17,17,19,19,14,12,16,14,13,16,13,11,11,15,20,16,15,13,16,16,14,19,14,17,20,19,20,20,20,20,22,20,20,16,18,24,17,17,22,16,20,20,13,16,17,15,19,23,17
